slug,symbol,close,volume
monetaryunit,MUE,0.007412088870148311,1341.23
blocknet,BLOCK,1.2151368533832259,124010.25
limitless-vip,VIP,5.7016068232e-4,0
crown,CRW,0.05988936419268613,1946.75
gcn-coin,GCN,4.6163619998153e-7,4.89
quotient,XQN,0.00114010850947,0
okcash,OK,0.02664215441921538,1534174.97
paycoin2,XPY,0.01140108509472,0
circuits-of-value,COVAL,0.028647957413327253,31421.94
nexus,NXS,0.5524518145000509,1680157.84
smileycoin,SMLY,2.912203535219238e-5,39.45
kobocoin,KOBO,0.03021851616291,0
bean-cash,BITB,2.4787583735564874e-4,254.64
geocoin,GEO,0.3340517932752948,66821.84
tether,USDT,1.0002857311859554,87396693339.13
wild-beast-block,WBB,0.03078867684523,0
gridcoin,GRC,0.010135892933151152,13781.76
x-coin,XCO,0.00228021701894,0
